corpus,run,fold,score
callhome,0,0,0.88
callhome,0,1,0.88461538461538458
callhome,0,2,0.83999999999999997
callhome,0,3,0.71999999999999997
callhome,0,4,0.73076923076923073
callhome,0,5,0.80000000000000004
callhome,0,6,0.80000000000000004
callhome,0,7,0.80000000000000004
callhome,0,8,0.76923076923076927
callhome,0,9,0.88
callhome,1,0,0.76000000000000001
callhome,1,1,0.69230769230769229
callhome,1,2,0.76000000000000001
callhome,1,3,0.71999999999999997
callhome,1,4,0.84615384615384615
callhome,1,5,0.88
callhome,1,6,0.80000000000000004
callhome,1,7,0.64000000000000001
callhome,1,8,0.84615384615384615
callhome,1,9,0.88
callhome,2,0,0.71999999999999997
callhome,2,1,0.92307692307692313
callhome,2,2,0.68000000000000005
callhome,2,3,0.83999999999999997
callhome,2,4,0.88461538461538458
callhome,2,5,0.76000000000000001
callhome,2,6,0.76000000000000001
callhome,2,7,0.71999999999999997
callhome,2,8,0.88461538461538458
callhome,2,9,0.71999999999999997
callhome,3,0,0.92000000000000004
callhome,3,1,0.80769230769230771
callhome,3,2,0.80000000000000004
callhome,3,3,0.80000000000000004
callhome,3,4,0.76923076923076927
callhome,3,5,0.92000000000000004
callhome,3,6,0.56000000000000005
callhome,3,7,0.76000000000000001
callhome,3,8,0.76923076923076927
callhome,3,9,0.83999999999999997
callhome,4,0,0.83999999999999997
callhome,4,1,0.73076923076923073
callhome,4,2,0.71999999999999997
callhome,4,3,0.83999999999999997
callhome,4,4,0.80769230769230771
callhome,4,5,0.71999999999999997
callhome,4,6,0.71999999999999997
callhome,4,7,0.80000000000000004
callhome,4,8,0.80769230769230771
callhome,4,9,0.80000000000000004
callhome,5,0,0.64000000000000001
callhome,5,1,0.96153846153846156
callhome,5,2,0.71999999999999997
callhome,5,3,0.83999999999999997
callhome,5,4,0.84615384615384615
callhome,5,5,0.71999999999999997
callhome,5,6,0.76000000000000001
callhome,5,7,0.68000000000000005
callhome,5,8,0.84615384615384615
callhome,5,9,0.92000000000000004
callhome,6,0,0.83999999999999997
callhome,6,1,0.80769230769230771
callhome,6,2,0.88
callhome,6,3,0.80000000000000004
callhome,6,4,0.73076923076923073
callhome,6,5,0.76000000000000001
callhome,6,6,0.71999999999999997
callhome,6,7,0.80000000000000004
callhome,6,8,0.73076923076923073
callhome,6,9,0.95999999999999996
callhome,7,0,0.80000000000000004
callhome,7,1,0.73076923076923073
callhome,7,2,0.80000000000000004
callhome,7,3,1.0
callhome,7,4,0.80769230769230771
callhome,7,5,0.76000000000000001
callhome,7,6,0.88
callhome,7,7,0.76000000000000001
callhome,7,8,0.73076923076923073
callhome,7,9,0.80000000000000004
callhome,8,0,0.88
callhome,8,1,0.84615384615384615
callhome,8,2,0.76000000000000001
callhome,8,3,0.88
callhome,8,4,0.73076923076923073
callhome,8,5,0.88
callhome,8,6,0.80000000000000004
callhome,8,7,0.68000000000000005
callhome,8,8,0.80769230769230771
callhome,8,9,0.68000000000000005
callhome,9,0,0.64000000000000001
callhome,9,1,0.88461538461538458
callhome,9,2,0.95999999999999996
callhome,9,3,0.71999999999999997
callhome,9,4,0.80769230769230771
callhome,9,5,0.80000000000000004
callhome,9,6,0.76000000000000001
callhome,9,7,0.76000000000000001
callhome,9,8,0.88461538461538458
callhome,9,9,0.80000000000000004
callhome,10,0,0.88
callhome,10,1,0.73076923076923073
callhome,10,2,0.92000000000000004
callhome,10,3,0.83999999999999997
callhome,10,4,0.84615384615384615
callhome,10,5,0.56000000000000005
callhome,10,6,0.64000000000000001
callhome,10,7,0.71999999999999997
callhome,10,8,0.92307692307692313
callhome,10,9,0.88
callhome,11,0,0.83999999999999997
callhome,11,1,0.80769230769230771
callhome,11,2,0.92000000000000004
callhome,11,3,0.80000000000000004
callhome,11,4,0.80769230769230771
callhome,11,5,0.88
callhome,11,6,0.76000000000000001
callhome,11,7,0.68000000000000005
callhome,11,8,0.69230769230769229
callhome,11,9,0.76000000000000001
callhome,12,0,1.0
callhome,12,1,0.84615384615384615
callhome,12,2,0.76000000000000001
callhome,12,3,0.64000000000000001
